1.383,1.124,0.7773,1.23,4.636,0.1981,0.237,1.485,0.7868,3.717,0.3674,1.545,3.219,3.249,1.229,5.885,1.322,1.992,0.6598,1.445
1.458,1.254,0.726,1.145,4.485,0.6306,0.5876,1.61,1.937,3.697,0.6356,1.624,3.129,0.3498,1.059,5.887,1.33,1.938,0.9194,1.557
1.548,1.12,0.6346,1.18,4.375,0.5139,0.2874,0.3553,1.74,3.611,0.5613,1.418,3.165,0.8701,6.761,5.825,1.144,2.936,3.173,4.072
1.623,1.322,1.041,1.44,4.307,0.7471,0.8248,0.8717,1.758,3.505,0.7217,1.851,3.087,1.131,7.122,0.7267,0.3738,0.4463,0.3424,3.925
1.741,1.496,1.195,1.208,4.251,0.9874,0.9455,0.7427,1.637,3.535,0.3631,1.829,4.51,7.68,7.015,0.9578,0.4615,0.5854,0.9097,3.765
3.483,2.246,1.232,1.06,4.189,1.05,1.123,2.018,1.521,3.443,0.5034,0.2792,4.395,7.401,0.4692,0.8195,0.135,0.1233,0.7276,3.536
3.642,0.6228,0.3788,1.281,4.16,1.204,1.332,2.377,0.5561,3.452,0.7207,0.1442,4.298,7.22,0.9408,0.9454,0.2083,0.204,0.8482,3.383
3.5,0.1381,0.2062,1.71,4.31,1.529,1.587,2.333,0.418,3.54,0.881,0.3146,4.281,11.17,1.126,0.972,0.5737,0.3488,0.7985,3.254
3.271,0.1985,0.2491,1.764,4.25,1.554,1.425,2.145,0.3736,3.457,1.237,0.09826,0.4878,10.97,0.9778,1.072,0.7958,0.4016,3.474,3.048
3.035,0.2135,0.5936,6.557,5.327,1.404,1.348,3.547,0.6856,3.333,1.11,0.1669,0.4421,10.78,10.81,11.22,1.013,0.5609,3.342,0.02823
2.827,2.767,0.8477,6.273,0.6139,0.6989,0.3788,3.287,0.4912,3.414,1.172,0.2878,0.7614,0.4205,0.4876,11.24,0.885,1.02,3.379,0.463
0.335,2.744,3.142,6.055,1.079,0.5922,0.3088,3.025,0.5717,3.592,1.359,0.7413,1.283,0.4813,0.7027,11.31,1.058,1.18,3.423,1.114
0.5579,0.4712,3.26,5.817,6.367,6.527,0.8749,2.97,0.6743,3.944,1.358,0.9876,1.414,0.4233,0.09243,11.03,11.42,1.431,3.315,1.288
0.506,0.6886,3.457,0.4321,0.5759,6.57,3.178,2.785,0.5023,3.831,1.41,1.07,1.436,0.3881,0.09826,0.4249,11.13,1.292,3.295,1.437
0.4767,0.5691,3.3,0.7404,0.4149,9.118,3.179,0.4182,0.7047,3.848,1.57,1.234,1.418,0.51,0.1625,0.3679,10.79,1.103,4.103,1.35
0.4682,0.6859,3.098,0.6296,0.6073,9.011,0.5994,0.1604,0.6658,3.767,1.379,1.215,1.36,0.4111,0.8354,0.3135,10.61,0.4351,4.12,1.146
0.4492,0.9049,3.653,1.019,1.052,8.644,0.644,0.1216,0.8025,3.728,2.362,1.173,1.344,0.4671,1.026,1.06,10.45,0.09636,3.974,1.195
0.4205,0.4227,3.489,1.277,0.8554,9.347,1.388,0.9216,0.7308,3.708,3.337,1.497,1.37,0.3405,0.4671,1.287,10.24,0.6697,3.844,1.157
